train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.5854375790804625,-0.003491469986329321,70.59686362743378,0.002040577,0.0087890625,22.490638732910156,3.6080804,0.07231737,11.80323,0.07527079,4.3060713,1.723359,19.98027,1.0406976,0.66551197,0.015227623,5.527841,0.29890388,61,0.2
0.0003,-0.5827535601953665,-0.0042713854782050475,64.94777345657349,0.003948418,0.021158854166666668,20.713743209838867,3.6170247,0.06475729,11.808751,0.06851609,4.3119493,1.7438712,20.083855,1.0509256,0.67091244,0.014383195,5.6333117,0.30922657,62,0.2
0.0003,-0.5809272797778249,-0.004579603690217482,59.989107102155685,0.0034639514,0.0250244140625,17.388240814208984,3.6201932,0.06807115,11.810888,0.072090894,4.320965,1.7581347,20.175928,1.057342,0.67227364,0.0150446575,5.7328496,0.3190183,63,0.2
0.0003,-0.5803093578666448,-0.0051724358170758935,55.656802725791934,0.0042099087,0.030859375,19.00313949584961,3.6232603,0.067903765,11.8121805,0.07228656,4.328874,1.7725903,20.259558,1.0642216,0.67017484,0.015193974,5.829546,0.32867697,64,0.2
0.0003,-0.5797647275030613,-0.005633059796916011,51.865759859482445,0.0034898682,0.031331380208333336,23.586551666259766,3.6266975,0.069010735,11.813999,0.0737679,4.3403955,1.7798691,20.32954,1.0670202,0.668375,0.0155632,5.917673,0.33752686,65,0.2
0.0003,-0.579536614141294,-0.006022372599025922,48.57190319895744,0.004333755,0.03424944196428571,20.21479034423828,3.6300166,0.07294878,11.815242,0.07866396,4.3514204,1.7869847,20.389446,1.0698406,0.66536963,0.016617684,6.0032535,0.34621543,66,0.2
0.0003,-0.5798164154402912,-0.006070641975384206,45.71122081205249,0.003770101,0.03460693359375,25.179977416992188,3.6392868,0.073005676,11.822158,0.078913406,4.367623,1.7877609,20.440897,1.069178,0.67187285,0.016790604,6.0800667,0.3540182,67,0.2
0.0003,-0.5790311764511797,-0.006107294042724081,43.21916247407595,0.0039048637,0.034613715277777776,24.5578556060791,3.6456459,0.0690884,11.826913,0.073926084,4.3822517,1.7862862,20.475948,1.0674698,0.67386395,0.016030544,6.145239,0.36068827,68,0.2
0.0003,-0.5785378942266106,-0.006222891571815126,41.058102923631665,0.0041452684,0.03525390625,7.822741508483887,3.652667,0.06899073,11.832805,0.072491914,4.393906,1.7863407,20.501333,1.0672301,0.67929554,0.016100312,6.198625,0.36619404,69,0.2
0.0003,-0.5760480407625437,-0.0009430217178305611,64.04932653903961,0.00011232619,0.0,27.421611785888672,3.6585348,0.065553665,11.836949,0.06795068,4.3884478,1.8131365,20.572023,1.0821264,0.68313295,0.0152686965,6.288247,0.37564227,70,0.2
